field1,field2,field3,field4,field5,_CLEANADDR,FID_국토교통부_전국버스정류장위치정보_20231016_XYTableToPoint,정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
코레일,1호선,덕계,경기도 양주시 덕계동 209-5,경기도 양주시 덕계로 126,경기도 양주시 덕계로 126 (덕계동),87873,GGB235000923,덕계역,37.8182333,127.0567667,2023-10-16,39959,31260,경기도 양주시,경기
코레일,1호선,덕정,경기도 양주시 덕정동 350-14,경기도 양주시 화합로 1356,경기도 양주시 화합로 1356 (덕정동),85727,GGB235000117,덕정역,37.8434333,127.0620833,2023-10-16,39520,31260,경기도 양주시,경기
코레일,1호선,지행,동두천시 지행동 481-2,경기도 동두천시 평화로 2285,경기도 동두천시 평화로 2285 (지행동),66423,GGB215000168,지행역4번출구,37.8923833,127.0561333,2023-10-16,16217,31080,경기도 동두천시,경기
코레일,1호선,동두천중앙,경기도 동두천시 생연동 726-3,경기도 동두천시 동두천로 228,경기도 동두천시 동두천로 228 (생연동),69805,GGB215000082,동두천중앙역3번출구,37.9020833,127.0567,2023-10-16,16030,31080,경기도 동두천시,경기
코레일,1호선,보산,경기도 동두천시 보산동 422,경기도 동두천시 평화로 2539,경기도 동두천시 평화로 2539 (보산동),69752,GGB215000029,보산역.보산초등학교입구,37.9149667,127.0572833,2023-10-16,16094,31080,경기도 동두천시,경기
코레일,1호선,동두천,경기도 동두천시 동두천동 245-31,경기도 동두천시 평화로 2687(동두천역),경기도 동두천시 평화로 2687 (동두천동),66493,GGB215000260,동두천역,37.9277667,127.0540833,2023-10-16,16316,31080,경기도 동두천시,경기
코레일,1호선,소요산,경기도 동두천시 상봄암동 126-3,경기도 동두천시 평화로 2925,경기도 동두천시 평화로 2925 (상봉암동),69770,GGB215000047,소요산역,37.9479167,127.06175,2023-10-16,16140,31080,경기도 동두천시,경기
코레일,1호선,연천,,경기 연천군 연천읍 연천로 273-7,경기 연천군 연천읍 연천로 273-7,,GGB238000614,연천역앞삼거리,38.1010667,127.0749667,2023-10-16,43656,31350,경기도 연천군,경기
코레일,1호선,전곡,,경기 연천군 전곡읍 전곡역로 75,경기 연천군 전곡읍 전곡역로 75,,GGB238000325,전곡역,38.0245,127.07105,2023-10-16,43542,31350,경기도 연천군,경기
코레일,1호선,청산,,경기 연천군 청산면 학담로 46,경기 연천군 청산면 학담로 46,,,청산역,,,2023-10-16,43368,31350,경기도 연천군,경기
